month,algeria,congo,eq_guinea,gabon,iran,iraq,kuwait,libya,nigeria,saudi_arabia,uae,venezuela,total_opec_crude
2023-01-01,1.01,0.26,0.055,0.2,2.55,4.43,2.7,1.13,1.2,9.8,3.34,0.72,27.395
2023-02-01,1.01,0.28,0.06,0.19,2.6,4.43,2.68,1.16,1.26,10.0,3.34,0.67,27.68
2023-03-01,1.0,0.26,0.055,0.2,2.65,4.38,2.67,1.14,1.25,10.25,3.36,0.7,27.915
2023-04-01,1.01,0.26,0.06,0.21,2.68,4.17,2.63,1.14,1.06,10.6,3.26,0.74,27.82
2023-05-01,0.98,0.25,0.055,0.21,2.75,4.2,2.57,1.15,1.26,9.9,3.23,0.76,27.315
2023-06-01,0.95,0.25,0.065,0.2,2.78,4.21,2.57,1.15,1.25,10.05,3.17,0.76,27.405
2023-07-01,0.96,0.26,0.06,0.21,2.85,4.28,2.55,1.13,1.13,9.17,3.16,0.79,26.55
2023-08-01,0.94,0.25,0.065,0.2,3.0,4.36,2.54,1.16,1.2,8.7,3.07,0.76,26.245
2023-09-01,0.95,0.26,0.05,0.2,3.05,4.35,2.58,1.16,1.29,9.2,3.08,0.735,26.905
2023-10-01,0.96,0.26,0.06,0.2,3.1,4.37,2.52,1.15,1.31,9.05,3.14,0.735,26.855
2023-11-01,0.96,0.27,0.05,0.21,3.2,4.34,2.55,1.19,1.25,9.0,3.18,0.75,26.95
2023-12-01,0.95,0.25,0.05,0.22,3.25,4.42,2.52,1.17,1.36,8.75,3.24,0.76,26.94
2024-01-01,0.92,0.25,0.06,0.21,3.22,4.4,2.45,1.02,1.29,8.95,3.27,0.77,26.81
2024-02-01,0.91,0.24,0.05,0.21,3.22,4.41,2.45,1.14,1.26,9.15,3.25,0.805,27.095
2024-03-01,0.91,0.25,0.06,0.22,3.28,4.49,2.48,1.14,1.29,9.25,3.22,0.805,27.395
2024-04-01,0.91,0.26,0.05,0.21,3.26,4.48,2.5,1.18,1.21,9.25,3.21,0.82,27.34
2024-05-01,0.9,0.25,0.06,0.22,3.26,4.47,2.5,1.18,1.25,9.05,3.25,0.84,27.23
2024-06-01,0.9,0.25,0.05,0.22,3.26,4.44,2.48,1.2,1.25,8.7,3.24,0.83,26.82
2024-07-01,0.91,0.24,0.06,0.21,3.3,4.55,2.44,1.17,1.3,9.0,3.23,0.84,27.25
2024-08-01,0.91,0.25,0.06,0.21,3.33,4.47,2.44,0.92,1.36,9.13,3.24,0.86,27.18
2024-09-01,0.91,0.24,0.06,0.21,3.4,4.32,2.45,0.57,1.26,8.92,3.35,0.87,26.56
2024-10-01,0.91,0.24,0.05,0.22,3.35,4.27,2.45,1.07,1.27,9.0,3.37,0.88,27.08
2024-11-01,0.905,0.22,0.06,0.22,3.42,4.25,2.42,1.18,1.27,8.96,3.37,0.82,27.095
2024-12-01,0.92,0.24,0.07,0.22,3.4,4.22,2.45,1.25,1.35,8.9,3.3,0.86,27.18
2025-01-01,0.91,0.24,0.05,0.24,3.4,4.3,2.42,1.23,1.33,8.85,3.17,0.9,27.04
2025-02-01,0.92,0.24,0.06,0.22,3.45,4.27,2.43,1.27,1.38,8.85,3.16,0.91,27.16
2025-03-01,0.91,0.23,0.06,0.24,3.35,4.35,2.45,1.24,1.4,9.1,3.17,0.92,27.42
2025-04-01,0.915,0.23,0.05,0.23,3.4,4.28,2.46,1.28,1.38,8.9,3.18,0.93,27.235
2025-05-01,0.92,0.22,0.06,0.24,3.45,4.31,2.49,1.31,1.42,9.05,3.3,0.94,27.71
2025-06-01,0.92,0.23,0.05,0.25,3.25,4.32,2.5,1.29,1.45,9.7,3.27,0.95,28.18
2025-07-01,0.93,0.24,0.05,0.23,3.35,4.3,2.48,1.31,1.42,9.2,3.44,0.95,27.9
2025-08-01,0.94,0.23,0.05,0.24,3.3,4.4,2.45,1.26,1.5,9.1,3.48,0.965,27.915
2025-09-01,0.95,0.25,0.04,0.24,3.38,4.4,2.55,1.32,1.48,10.0,3.55,0.97,29.13
2025-10-01,0.94,0.26,0.05,0.25,3.45,4.4,2.5,1.28,1.44,9.75,3.52,0.975,28.815
2025-11-01,0.97,0.25,0.04,0.24,3.35,4.33,2.54,1.28,1.38,9.7,3.58,0.975,28.635
2025-12-01,0.97,0.25,0.04,0.25,3.4,4.26,2.59,1.35,1.39,9.8,3.52,0.875,28.695
2026-01-01,0.96,0.24,0.05,0.24,3.35,4.33,2.56,1.3,1.37,9.85,3.54,0.775,28.565
2026-02-01,0.98,0.25,0.05,0.24,3.45,4.33,2.57,1.3,1.39,10.2,3.58,0.91,29.25
2026-03-01,,,,,,,,,,,,,23.083
2026-04-01,,,,,,,,,,,,,25.177
2026-05-01,,,,,,,,,,,,,26.266
2026-06-01,,,,,,,,,,,,,27.066
2026-07-01,,,,,,,,,,,,,27.955
2026-08-01,,,,,,,,,,,,,28.214
2026-09-01,,,,,,,,,,,,,28.213
2026-10-01,,,,,,,,,,,,,28.312
2026-11-01,,,,,,,,,,,,,28.211
2026-12-01,,,,,,,,,,,,,28.211
